conceptID,term,Type,MTurk_E,MTurk_P,MTurk_A,US_E,US_P,US_A,org_E,org_P,org_A
802,Air_Force_enlistee,Identities,.41394231,.21418269,.38004807,.58594728,.38505745,.21035601,2.0599999,1.5599999,.86000001
803,Air_Force_officer,Identities,.48025,.53775001,.44799998,.58845669,.63218391,.44983822,2.0699999,2.4200001,1.6
804,Air_Force_reservist,Identities,.43850574,.33448276,.25494185,.55332494,.39942527,.15210359,1.9299999,1.61,.68000001
805,American,Identities,.33293268,.29182693,.37475961,.42283565,.45689651,.50485438,1.41,1.8099999,1.77
806,Arab,Identities,.14019607,.029455446,.036274508,.14680052,.06609194,-.016181204,.31,.44999999,.16
807,Army_enlistee,Identities,.33168316,.053465348,.41460395,.66875786,.40804595,.35275081,2.3900001,1.64,1.3
808,Army_officer,Identities,.4126344,.54892474,.47123656,.39021331,.61494249,.46278319,1.28,2.3599999,1.64
809,Army_reservist,Identities,.51547617,.33714285,.31928572,.50564617,.27586204,.13268611,1.74,1.1799999,.62
810,Asian,Identities,.29268867,.067452833,.023584906,.42283565,.048850562,-.17799351,1.41,.38999999,-.34
811,Asian_American,Identities,.29950494,.084749997,.04575,.35759097,.16666666,-.087378614,1.15,.80000001,-.059999999
812,Asian_man,Identities,.25861111,.07,.035277776,.27478045,-.0057471339,-.18122974,.81999999,.2,-.34999999
813,Asian_woman,Identities,.29117647,-.070833333,-.012500001,.38268507,.028735621,-.15533978,1.25,.31999999,-.27000001
814,Australian,Identities,.25558251,.082038835,.12645631,.32747805,.028735621,.13268611,1.03,.31999999,.62
815,Austrian,Identities,.20990099,.081500001,.061499998,.21204518,.017241372,.032362487,.56999999,.28,.31
816,Black,Identities,.14,.034840427,.16835107,.28481808,.13793102,.24919097,.86000001,.69999999,.98000002
817,Buddhist,Identities,.35066965,.054464288,-.43906251,.43287331,.11206896,-.67637539,1.45,.61000001,-1.88
818,CEO,Identities,.19663462,.75144231,.51201922,.24717693,.86206895,.41100326,.70999998,3.22,1.48
819,Catholic,Identities,.14854369,.10048544,.013221153,.20702636,.077586204,-.1359223,.55000001,.49000001,-.20999999
820,Chinese,Identities,.23510101,.068499997,.13762626,.36260977,.054597691,-.025889942,1.17,.41,.13
821,Christian,Identities,.2920354,.11084071,.062610619,.44542032,.35057473,.14239484,1.5,1.4400001,.64999998
822,Christian_missionary,Identities,.38104394,.27829671,.16730769,.50062734,.41666666,.071197435,1.72,1.67,.43000001
823,German,Identities,.13269231,.10137363,.099456519,.21455459,.13218389,.13268611,.57999998,.68000001,.62
824,God,Identities,.45528847,.56699032,-.16514423,.86951065,.92816091,-.21682845,3.1900001,3.45,-.46000001
825,Hindu,Identities,.28725961,.053365383,-.18701923,.25972399,-.022988513,-.28155339,.75999999,.14,-.66000003
826,Hispanic_American,Identities,.15858586,-.038888887,.18080808,.35759097,-.068965524,.032362487,1.15,-.02,.31
827,Hispanic_man,Identities,.22826087,.013586958,.21875,.21204518,-.083333343,.11650488,.56999999,-.07,.56999999
828,Hispanic_woman,Identities,.2078125,.063541666,.2453125,.34755334,-.048850581,.22977349,1.11,.050000001,.92000002
829,Jew,Identities,.3309406,.12425742,.046782177,.37264743,.089080445,-.022653695,1.21,.52999997,.14
830,Marine_Corps_enlistee,Identities,.46076643,.22554745,.45127738,.51317441,.34482756,.31067961,1.77,1.42,1.17
831,Marine_Corps_officer,Identities,.43494898,.57397962,.49209183,.56838143,.67816091,.52103561,1.99,2.5799999,1.8200001
832,Marine_Corps_reservist,Identities,.51966292,.48249999,.44277778,.46047679,.41666666,.15210359,1.5599999,1.67,.68000001
833,Methodist,Identities,.16052632,.057894737,-.031052632,.36260977,.060344823,-.1003236,1.17,.43000001,-.1
834,Mormon,Identities,.12313084,.046495326,-.015654206,.10664996,-.14367817,-.25889963,.15000001,-.28,-.58999997
835,Muslim,Identities,.0013888885,-.013333334,.04222222,.2371393,.0057471166,-.10355984,.67000002,.23999999,-.11
836,Navy_enlistee,Identities,.45185184,.14888889,.35888889,.48557088,.2327586,.27508092,1.66,1.03,1.0599999
837,Navy_officer,Identities,.50620437,.51587594,.44178832,.53074026,.63793105,.28802592,1.84,2.4400001,1.1
838,Navy_reservist,Identities,.44999999,.32527778,.24583334,.53575909,.36781609,.071197435,1.86,1.5,.43000001
839,Protestant,Identities,.20157658,.050454546,.034545455,.32245922,.11206896,.071197435,1.01,.61000001,.43000001
840,Turk,Identities,.27571428,.06706731,.064423077,.17691344,.017241372,.0097087622,.43000001,.28,.23999999
1,abandon,Behaviors,-.79628712,-.10693069,-.15049505,-.76160598,-.086206906,-.10355984,-3.3099999,-.079999998,-.11
1710,abandoned,Modifiers,-.76143616,-.48643616,-.2516129,-.74654949,-.23275863,-.46601939,-3.25,-.58999997,-1.23
2,abduct,Behaviors,-.8771739,.36532846,.51159418,-.8870765,.50574714,.36893207,-3.8099999,1.98,1.35
3,abet,Behaviors,-.15227273,.19198719,.1826923,.076537035,.034482751,-.12621357,.029999999,.34,-.18000001
4,abhor,Behaviors,-.510625,.011875,-.045624997,-.46549559,.19540228,.13268611,-2.1300001,.89999998,.62
1711,able_bodied,Modifiers,.74943179,.55459768,.37816092,.81681305,.72988504,.44012949,2.98,2.76,1.5700001
5,abort,Behaviors,-.45199999,.2545,.15575001,-.39523208,.31896552,-.1359223,-1.85,1.33,-.20999999
841,abortionist,Identities,-.11593407,.26277173,.11208791,-.1041405,.22413792,-.1359223,-.69,1,-.20999999
1712,absentminded,Modifiers,-.505,-.43575001,-.31400001,-.33249682,-.545977,-.55016178,-1.6,-1.6799999,-1.49
6,abuse,Behaviors,-.91947114,.014903845,.48822114,-.8971141,.11206896,.42071199,-3.8499999,.61000001,1.51
1713,abusive,Modifiers,-.90686816,.14368132,.55247253,-.85696357,.2729885,.53398061,-3.6900001,1.17,1.86
1714,abusive_physically,Modifiers,-.88480395,.039950982,.55759805,-.87452942,.060344823,.592233,-3.76,.43000001,2.04
1715,abusive_verbally,Modifiers,-.85959595,.15277778,.59444445,-.7490589,.28160921,.64401299,-3.26,1.2,2.2
842,academic,Identities,.51760203,.28494897,-.077806123,.65621078,.58620685,-.10679609,2.3399999,2.26,-.12
7,accept,Behaviors,.71529126,.56140774,.0038834952,.73902136,.62643677,-.16181226,2.6700001,2.4000001,-.28999999
8,acclaim,Behaviors,.53183961,.40357143,.35377359,.45294857,.30172414,.27831718,1.53,1.27,1.0700001
9,accommodate,Behaviors,.60668319,.35321781,.02178218,.70890838,.41666666,.064724945,2.55,1.67,.41
1716,accommodating,Modifiers,.60093284,.26249999,.055410448,.67126727,.33333331,-.19093849,2.4000001,1.38,-.38
843,accomplice,Identities,-.099479169,.036718749,.159375,.03387706,-8.5638856e-09,.0064725196,-.14,.22,.23
10,accost,Behaviors,-.52873564,.23678161,.45775861,-.26725218,.19252872,.38511327,-1.34,.88999999,1.4
