conceptID,term,Type,MTurk_E,MTurk_P,MTurk_A,US_E,US_P,US_A
802,Air_Force_enlistee,Identities,1.6557692,.85673076,1.5201923,2.0599999,1.5599999,.86000001
803,Air_Force_officer,Identities,1.921,2.151,1.7919999,2.0699999,2.4200001,1.6
804,Air_Force_reservist,Identities,1.754023,1.337931,1.0197674,1.9299999,1.61,.68000001
805,American,Identities,1.3317307,1.1673077,1.4990385,1.41,1.8099999,1.77
806,Arab,Identities,.56078428,.11782178,.14509803,.31,.44999999,.16
807,Army_enlistee,Identities,1.3267326,.21386139,1.6584158,2.3900001,1.64,1.3
808,Army_officer,Identities,1.6505376,2.195699,1.8849462,1.28,2.3599999,1.64
809,Army_reservist,Identities,2.0619047,1.3485714,1.2771429,1.74,1.1799999,.62
810,Asian,Identities,1.1707547,.26981133,.094339624,1.41,.38999999,-.34
811,Asian_American,Identities,1.1980197,.33899999,.183,1.15,.80000001,-.059999999
812,Asian_man,Identities,1.0344445,.28,.14111111,.81999999,.2,-.34999999
813,Asian_woman,Identities,1.1647059,-.28333333,-.050000004,1.25,.31999999,-.27000001
814,Australian,Identities,1.02233,.32815534,.50582522,1.03,.31999999,.62
815,Austrian,Identities,.83960396,.32600001,.24599999,.56999999,.28,.31
816,Black,Identities,.56,.13936171,.67340428,.86000001,.69999999,.98000002
817,Buddhist,Identities,1.4026786,.21785715,-1.75625,1.45,.61000001,-1.88
818,CEO,Identities,.78653848,3.0057693,2.0480769,.70999998,3.22,1.48
819,Catholic,Identities,.59417474,.40194175,.052884612,.55000001,.49000001,-.20999999
820,Chinese,Identities,.94040406,.27399999,.55050504,1.17,.41,.13
821,Christian,Identities,1.1681416,.44336283,.25044248,1.5,1.4400001,.64999998
822,Christian_missionary,Identities,1.5241758,1.1131868,.66923076,1.72,1.67,.43000001
823,German,Identities,.53076923,.40549451,.39782608,.57999998,.68000001,.62
824,God,Identities,1.8211539,2.2679613,-.66057694,3.1900001,3.45,-.46000001
825,Hindu,Identities,1.1490384,.21346153,-.74807692,.75999999,.14,-.66000003
826,Hispanic_American,Identities,.63434345,-.15555555,.72323233,1.15,-.02,.31
827,Hispanic_man,Identities,.9130435,.054347832,.875,.56999999,-.07,.56999999
828,Hispanic_woman,Identities,.83125001,.25416666,.98124999,1.11,.050000001,.92000002
829,Jew,Identities,1.3237624,.49702969,.18712871,1.21,.52999997,.14
830,Marine_Corps_enlistee,Identities,1.8430657,.90218979,1.8051095,1.77,1.42,1.17
831,Marine_Corps_officer,Identities,1.7397959,2.2959185,1.9683673,1.99,2.5799999,1.8200001
832,Marine_Corps_reservist,Identities,2.0786517,1.9299999,1.7711111,1.5599999,1.67,.68000001
833,Methodist,Identities,.64210528,.23157895,-.12421053,1.17,.43000001,-.1
834,Mormon,Identities,.49252334,.1859813,-.062616825,.15000001,-.28,-.58999997
835,Muslim,Identities,.0055555538,-.053333335,.16888888,.67000002,.23999999,-.11
836,Navy_enlistee,Identities,1.8074074,.59555554,1.4355556,1.66,1.03,1.0599999
837,Navy_officer,Identities,2.0248175,2.0635037,1.7671533,1.84,2.4400001,1.1
838,Navy_reservist,Identities,1.8,1.3011111,.98333335,1.86,1.5,.43000001
839,Protestant,Identities,.8063063,.20181818,.13818182,1.01,.61000001,.43000001
840,Turk,Identities,1.1028571,.26826924,.25769231,.43000001,.28,.23999999
841,abortionist,Identities,-.46373627,1.0510869,.44835165,-.69,1,-.20999999
842,academic,Identities,2.0704081,1.1397959,-.31122449,2.3399999,2.26,-.12
843,accomplice,Identities,-.39791667,.14687499,.63749999,-.14,.22,.23
844,accountant,Identities,1.3081481,.76740742,-.15851852,1.03,1.16,-.47999999
845,accounting_clerk,Identities,1.1646465,.098989896,-.48181817,1.0599999,.46000001,-.87
846,accused,Identities,-1.345,-1.477,.127,-1.46,-1.38,-.090000004
847,acquaintance,Identities,1.2591305,.01826087,-.070175439,1.11,.02,-.16
848,actor,Identities,1.0644231,1.2932693,1.7355769,.81999999,1.36,1.6799999
849,addict,Identities,-2.2085714,-2.3533332,.14095238,-2.23,-2.3599999,.19
850,adolescent,Identities,.93990147,-1.0083743,1.9512315,.66000003,-.81,2.1700001
851,adopted_child,Identities,1.4959596,-.5181818,.29696968,1.97,-.1,.18000001
852,adopted_daughter,Identities,2.1038461,.2048077,.48365384,2.01,.36000001,.15000001
853,adopted_son,Identities,2.0052631,.32736841,.93578947,1.65,.41,.28
854,adult,Identities,.82200003,1.0779999,.43099999,1.0599999,1.8099999,.28999999
855,adulterer,Identities,-2.9079208,-.51386136,.73465347,-2.98,-.15000001,.20999999
