  
 ------------------------------------------------------------
         COND_ID           P_ID        E_RATIO        S_RATIO
 ------------------------------------------------------------
        1.000000       1.000000       0.021868       0.022861
        1.000000       1.000000       0.025891       0.020851
        1.000000       1.000000       0.020237       0.020552
        1.000000       1.000000       0.020519       0.020737
        1.000000       1.000000       0.022584       0.021723
        1.000000       1.000000       0.022213       0.021715
        1.000000       1.000000       0.019288       0.021840
        1.000000       1.000000       0.025685       0.022927
        1.000000       1.000000       0.015954       0.018857
        1.000000       1.000000       0.015171       0.017332
        1.000000       1.000000       0.020957       0.020552
        1.000000       1.000000       0.020300       0.020559
        1.000000       1.000000       0.019333       0.018516
        1.000000       1.000000       0.017850       0.021541
        1.000000       1.000000       0.022174       0.019028
        1.000000       1.000000       0.019337       0.020623
        1.000000       1.000000       0.017214       0.018231
        1.000000       1.000000       0.019027       0.021137
        1.000000       1.000000       0.020963       0.020790
        1.000000       1.000000       0.022068       0.019615
        1.000000       1.000000       0.024210       0.017332
        1.000000       1.000000       0.023630       0.021830
        1.000000       1.000000       0.013399       0.020906
        1.000000       1.000000       0.019162       0.020728
        1.000000       1.000000       0.016989       0.020339
        1.000000       1.000000       0.019519       0.019712
        1.000000       1.000000       0.013951       0.020318
        1.000000       1.000000       0.020009       0.019028
        1.000000       1.000000       0.023308       0.020386
        1.000000       1.000000       0.023121       0.021021
        1.000000       1.000000       0.017676       0.022192
        1.000000       1.000000       0.013477       0.021706
        1.000000       1.000000       0.019285       0.021715
        1.000000       1.000000       0.019236       0.019028
        1.000000       1.000000       0.021267       0.023043
        1.000000       1.000000       0.024650       0.020848
        1.000000       1.000000       0.022308       0.021421
        1.000000       1.000000       0.027333       0.019256
        1.000000       1.000000       0.022765       0.023043
        1.000000       1.000000       0.020151       0.021317
        1.000000       1.000000       0.020074       0.022163
        1.000000       1.000000       0.023283       0.023158
        1.000000       1.000000       0.021485       0.019654
        1.000000       1.000000       0.018622       0.023187
        1.000000       1.000000       0.026062       0.022234
        1.000000       1.000000       0.026433       0.022754
        1.000000       1.000000       0.023211       0.021138
        1.000000       1.000000       0.026752       0.020552
        1.000000       3.000000       0.020313       0.029552
        1.000000       3.000000       0.011058       0.022516
        1.000000       3.000000       0.015881       0.021082
        1.000000       3.000000       0.024668       0.019844
        1.000000       3.000000       0.018899       0.017264
        1.000000       3.000000       0.016215       0.017364
        1.000000       3.000000       0.011735       0.023153
        1.000000       3.000000       0.016916       0.021562
        1.000000       3.000000       0.030987       0.025187
        1.000000       3.000000       0.028440       0.021474
        1.000000       3.000000       0.013431       0.024570
        1.000000       3.000000       0.024000       0.017936
        1.000000       3.000000       0.021204       0.020417
        1.000000       3.000000       0.024036       0.021082
        1.000000       3.000000       0.013940       0.024042
        1.000000       3.000000       0.024418       0.024094
        1.000000       3.000000       0.027092       0.021082
        1.000000       3.000000       0.032877       0.016219
        1.000000       3.000000       0.018640       0.019926
        1.000000       3.000000       0.018478       0.013553
        1.000000       3.000000       0.016753       0.025223
        1.000000       3.000000       0.014520       0.022248
        1.000000       3.000000       0.036802       0.029035
        1.000000       3.000000       0.025087       0.017853
        1.000000       3.000000       0.022942       0.022828
        1.000000       3.000000       0.029963       0.015302
        1.000000       3.000000       0.031354       0.016219
        1.000000       3.000000       0.014268       0.018379
        1.000000       3.000000       0.018935       0.019540
        1.000000       3.000000       0.020342       0.020798
        1.000000       3.000000       0.026329       0.021180
        1.000000       3.000000       0.020841       0.023153
        1.000000       3.000000       0.017792       0.020798
        1.000000       3.000000       0.037992       0.018318
        1.000000       3.000000       0.024322       0.019081
        1.000000       3.000000       0.012750       0.018572
        1.000000       3.000000       0.015699       0.020507
        1.000000       3.000000       0.007874       0.022516
        1.000000       3.000000       0.013712       0.018318
        1.000000       3.000000       0.024238       0.025976
        1.000000       3.000000       0.028165       0.018318
        1.000000       3.000000       0.019529       0.022134
        1.000000       3.000000       0.014045       0.017264
        1.000000       3.000000       0.028662       0.022828
        1.000000       3.000000       0.011249       0.021562
        1.000000       3.000000       0.013929       0.021371
        1.000000       3.000000       0.025060       0.013537
        1.000000       3.000000       0.013620       0.025223
        1.000000       4.000000       0.018127       0.017873
        1.000000       4.000000       0.015111       0.019834
        1.000000       4.000000       0.027854       0.021259
        1.000000       4.000000       0.017836       0.020695
        1.000000       4.000000       0.017347       0.021169
        1.000000       4.000000       0.021301       0.019216
        1.000000       4.000000       0.035142       0.020883
        1.000000       4.000000       0.009670       0.017497
        1.000000       4.000000       0.025601       0.020406
        1.000000       4.000000       0.030708       0.029751
        1.000000       4.000000       0.028140       0.021932
        1.000000       4.000000       0.019216       0.020690
        1.000000       4.000000       0.025158       0.020690
        1.000000       4.000000       0.026872       0.019378
        1.000000       4.000000       0.023787       0.018118
        1.000000       4.000000       0.021807       0.021448
        1.000000       4.000000       0.025692       0.023590
        1.000000       4.000000       0.013988       0.022123
        1.000000       4.000000       0.022706       0.022504
        1.000000       4.000000       0.019404       0.021932
        1.000000       4.000000       0.014469       0.017164
        1.000000       4.000000       0.018613       0.015257
        1.000000       4.000000       0.027581       0.025022
        1.000000       4.000000       0.021662       0.017164
        1.000000       4.000000       0.030715       0.018309
        1.000000       4.000000       0.015472       0.022200
        1.000000       4.000000       0.031509       0.020597
        1.000000       4.000000       0.030245       0.021741
        1.000000       4.000000       0.015036       0.020690
        1.000000       4.000000       0.014162       0.021824
        1.000000       4.000000       0.025036       0.019336
        1.000000       4.000000       0.043925       0.026684
        1.000000       4.000000       0.028857       0.025022
        1.000000       4.000000       0.008015       0.015051
        1.000000       4.000000       0.015847       0.021932
        1.000000       4.000000       0.017248       0.020597
        1.000000       4.000000       0.021538       0.023397
        1.000000       4.000000       0.013893       0.021259
        1.000000       4.000000       0.022170       0.021741
        1.000000       4.000000       0.019439       0.022623
