Month,Day,Year,Temp
1,1,1995,39
1,2,1995,19.6
1,3,1995,20.6
1,4,1995,11.3
1,5,1995,6.8
1,6,1995,23
1,7,1995,28.2
1,8,1995,24.7
1,9,1995,25
1,10,1995,23.6
1,11,1995,36.5
1,12,1995,55.3
1,13,1995,59.7
1,14,1995,55.9
1,15,1995,42.9
1,16,1995,32.1
1,17,1995,32.8
1,18,1995,38.7
1,19,1995,42.4
1,20,1995,36.1
1,21,1995,26
1,22,1995,21.8
1,23,1995,20.4
1,24,1995,20.1
1,25,1995,16
1,26,1995,19.9
1,27,1995,21.3
1,28,1995,29.2
1,29,1995,20
1,30,1995,21
1,31,1995,22.5
2,1,1995,34.3
2,2,1995,32.8
2,3,1995,25.1
2,4,1995,24.9
2,5,1995,13.2
2,6,1995,8.2
2,7,1995,10.2
2,8,1995,12.6
2,9,1995,15
2,10,1995,30.1
2,11,1995,19.6
2,12,1995,3.2
2,13,1995,12.9
2,14,1995,22
2,15,1995,35.2
2,16,1995,33.8
2,17,1995,31.3
2,18,1995,35.8
2,19,1995,42.1
2,20,1995,40.8
2,21,1995,31.9
2,22,1995,33.1
2,23,1995,48.4
2,24,1995,33.7
2,25,1995,32.9
2,26,1995,42.2
2,27,1995,47.1
2,28,1995,38.1
3,1,1995,29.5
3,2,1995,22
3,3,1995,24.5
3,4,1995,29.8
3,5,1995,41.3
3,6,1995,43.3
3,7,1995,57
3,8,1995,29.1
3,9,1995,23.1
3,10,1995,27.3
3,11,1995,48.4
3,12,1995,56.9
3,13,1995,60.1
3,14,1995,63.5
3,15,1995,56.5
3,16,1995,58.3
3,17,1995,53.4
3,18,1995,43.6
3,19,1995,51.4
3,20,1995,58.4
3,21,1995,47.5
3,22,1995,45.5
3,23,1995,42.7
3,24,1995,39.8
3,25,1995,42.4
3,26,1995,45.1
3,27,1995,46.7
3,28,1995,42.3
3,29,1995,41
3,30,1995,40.7
3,31,1995,36.5
4,1,1995,37.2
4,2,1995,40
4,3,1995,49.4
4,4,1995,44.8
4,5,1995,29
4,6,1995,49
4,7,1995,50.9
4,8,1995,58.4
4,9,1995,50.4
4,10,1995,38.3
4,11,1995,55.4
4,12,1995,56.5
4,13,1995,43.8
4,14,1995,44.4
4,15,1995,47.5
4,16,1995,57
4,17,1995,63.3
4,18,1995,66.9
4,19,1995,59.6
4,20,1995,46.4
4,21,1995,62.4
4,22,1995,49
4,23,1995,44.5
4,24,1995,44.3
4,25,1995,48.2
4,26,1995,52.7
4,27,1995,58.3
4,28,1995,47.2
4,29,1995,54
4,30,1995,52.4
5,1,1995,44.7
5,2,1995,49.7
5,3,1995,53.5
5,4,1995,53.5
5,5,1995,52.3
5,6,1995,54.6
5,7,1995,59.6
5,8,1995,58.4
5,9,1995,61.6
5,10,1995,65.2
5,11,1995,55.5
5,12,1995,56.5
5,13,1995,57.2
5,14,1995,68.3
5,15,1995,63.6
5,16,1995,63.2
5,17,1995,66.9
5,18,1995,60.8
5,19,1995,55.3
5,20,1995,63.2
5,21,1995,65
5,22,1995,62.1
5,23,1995,65.6
5,24,1995,73.8
5,25,1995,59.7
5,26,1995,60.2
5,27,1995,61.8
5,28,1995,69.4
5,29,1995,64.1
5,30,1995,59.4
5,31,1995,63.9
6,1,1995,65.7
6,2,1995,68.6
6,3,1995,69.3
6,4,1995,66
6,5,1995,69.3
6,6,1995,74.8
6,7,1995,75.6
6,8,1995,71.8
6,9,1995,69.3
6,10,1995,74.2
6,11,1995,69.9
6,12,1995,62.1
6,13,1995,62.8
6,14,1995,69.7
6,15,1995,71.4
6,16,1995,73
6,17,1995,75.2
6,18,1995,76.7
6,19,1995,79.3
6,20,1995,80.1
6,21,1995,74.3
6,22,1995,73
6,23,1995,73.2
6,24,1995,72.9
6,25,1995,74.9
6,26,1995,77
6,27,1995,74.7
6,28,1995,72.8
6,29,1995,70.7
6,30,1995,71.9
7,1,1995,70
7,2,1995,61.8
7,3,1995,65.2
7,4,1995,73.9
7,5,1995,74.1
7,6,1995,73.2
7,7,1995,72
7,8,1995,67.7
7,9,1995,69.8
7,10,1995,72
7,11,1995,76.9
7,12,1995,80.9
7,13,1995,84.1
7,14,1995,84.5
7,15,1995,81
7,16,1995,77.8
7,17,1995,80.5
7,18,1995,76
7,19,1995,75.7
7,20,1995,75.8
7,21,1995,70.3
7,22,1995,75.5
7,23,1995,72.9
7,24,1995,71.9
7,25,1995,75.7
7,26,1995,74.3
7,27,1995,77
7,28,1995,78.2
7,29,1995,80.4
7,30,1995,80.7
7,31,1995,82
8,1,1995,81.1
8,2,1995,78.9
8,3,1995,81.6
8,4,1995,79.4
8,5,1995,71.9
8,6,1995,72.8
8,7,1995,75.8
8,8,1995,74.6
8,9,1995,76.2
8,10,1995,76.5
8,11,1995,81.1
8,12,1995,82.2
8,13,1995,84.2
8,14,1995,81.5
8,15,1995,82.1
8,16,1995,82.4
8,17,1995,81.4
8,18,1995,78.5
8,19,1995,77.2
8,20,1995,77.9
8,21,1995,77.7
8,22,1995,73.3
8,23,1995,68.8
8,24,1995,70.1
8,25,1995,71.9
8,26,1995,72
8,27,1995,73.9
8,28,1995,72.2
8,29,1995,75.1
8,30,1995,75.5
8,31,1995,80.9
9,1,1995,72.4
9,2,1995,66.1
9,3,1995,69.6
9,4,1995,73.2
9,5,1995,73.5
9,6,1995,75.2
9,7,1995,72.2
9,8,1995,64
9,9,1995,64.2
9,10,1995,61.8
9,11,1995,57.9
9,12,1995,68.3
9,13,1995,73
9,14,1995,68.3
9,15,1995,62.2
9,16,1995,63.1
9,17,1995,63.9
9,18,1995,57.1
9,19,1995,59.4
9,20,1995,64.1
9,21,1995,61.8
9,22,1995,53
9,23,1995,45.8
9,24,1995,50.3
9,25,1995,53.6
9,26,1995,55.4
9,27,1995,61.4
9,28,1995,65.5
9,29,1995,65.2
9,30,1995,66.5
1,0            1,1995,66.2
1,0            2,1995,65.1
1,0            3,1995,62.6
1,0            4,1995,57.9
1,0            5,1995,58.8
1,0            6,1995,63.2
1,0            7,1995,55.9
1,0            8,1995,55
1,0            9,1995,55.8
1,0            10,1995,60.3
1,0            11,1995,62.9
1,0            12,1995,65.1
1,0            13,1995,64.5
1,0            14,1995,60.1
1,0            15,1995,47
1,0            16,1995,44.6
1,0            17,1995,47.9
1,0            18,1995,61.6
1,0            19,1995,62.9
1,0            20,1995,56.6
1,0            21,1995,41.7
1,0            22,1995,47.8
1,0            23,1995,58
1,0            24,1995,54.3
1,0            25,1995,47.9
1,0            26,1995,47.3
1,0            27,1995,55.7
1,0            28,1995,48.6
1,0            29,1995,46.9
1,0            30,1995,48.5
